key,open,highest,lowest,close,volumn,weight
115,2012/06/05,4.580,4.580,4.150,4.520,16900,4.520
116,2012/06/06,4.540,4.660,4.370,4.490,8500,4.490
117,2012/06/07,4.380,4.600,4.250,4.600,10700,4.600
118,2012/06/08,4.560,4.560,4.290,4.490,21000,4.490
119,2012/06/11,4.370,4.530,4.370,4.530,8400,4.530
120,2012/06/12,4.360,4.520,4.360,4.490,24800,4.490
121,2012/06/13,4.380,4.460,4.380,4.460,21700,4.460
122,2012/06/14,4.480,4.530,4.380,4.490,30400,4.490
123,2012/06/15,4.530,4.530,4.450,4.490,57000,4.490
124,2012/06/18,4.400,4.570,4.400,4.530,25900,4.530
125,2012/06/19,4.510,4.570,4.480,4.570,19700,4.570
126,2012/06/20,4.480,4.600,4.420,4.580,5800,4.580
127,2012/06/21,4.600,4.600,4.470,4.600,10900,4.600
128,2012/06/22,4.600,4.600,4.380,4.480,8600,4.480
129,2012/06/25,4.150,4.280,3.740,4.280,33400,4.280
130,2012/06/26,4.300,4.500,3.980,4.500,16800,4.500
131,2012/06/27,4.390,4.480,4.240,4.410,21800,4.410
132,2012/06/28,4.390,4.420,4.220,4.360,23000,4.360
133,2012/06/29,4.100,4.350,4.080,4.330,63400,4.330
134,2012/07/02,4.260,4.400,4.250,4.250,7700,4.250
135,2012/07/03,4.400,4.400,4.400,4.400,300,4.400
136,2012/07/05,4.330,4.400,4.250,4.400,12000,4.400
137,2012/07/06,4.350,4.350,4.350,4.350,0,4.350
138,2012/07/09,4.300,4.420,4.300,4.400,3000,4.400
139,2012/07/10,4.430,4.430,4.370,4.430,6800,4.430
140,2012/07/11,4.330,4.490,4.330,4.460,9200,4.460
141,2012/07/12,4.470,4.500,4.330,4.460,6300,4.460
142,2012/07/13,4.350,4.890,4.350,4.700,11000,4.700
143,2012/07/16,4.600,4.880,4.520,4.790,5200,4.790
144,2012/07/17,4.690,4.690,4.490,4.520,7100,4.520
145,2012/07/18,4.480,4.480,4.050,4.120,14300,4.120
146,2012/07/19,4.060,4.060,3.890,3.990,14400,3.990
147,2012/07/20,3.950,3.950,3.920,3.920,4600,3.920
148,2012/07/23,3.870,3.900,3.830,3.850,12300,3.850
149,2012/07/24,3.810,3.810,3.750,3.760,29000,3.760
150,2012/07/25,3.740,3.810,3.740,3.810,12100,3.810
151,2012/07/26,3.810,3.810,3.710,3.710,6900,3.710
152,2012/07/27,3.710,3.800,3.700,3.800,7100,3.800
153,2012/07/30,3.750,3.830,3.750,3.830,11500,3.830
154,2012/07/31,3.780,3.820,3.780,3.790,10200,3.790
155,2012/08/01,3.760,3.850,3.710,3.840,4200,3.840
156,2012/08/02,3.800,3.810,3.710,3.730,11900,3.730
157,2012/08/03,3.710,3.710,3.580,3.690,12600,3.690
158,2012/08/06,3.640,3.810,3.580,3.810,4900,3.810
159,2012/08/07,3.810,3.850,3.730,3.850,31000,3.850
160,2012/08/08,3.790,3.850,3.600,3.840,6600,3.840
161,2012/08/09,3.810,3.880,3.810,3.810,6000,3.810
